7.1,4.7,1.4,0.1,America
4.9,4.0,1.4,0.1,America
4.7,4.1,1.4,0.1,America
4.6,4.1,1.7,0.1,America
7.0,4.6,1.4,0.1,America
7.4,4.9,1.7,0.4,America
4.6,4.4,1.4,0.4,America
7.0,4.4,1.7,0.1,America
4.4,1.9,1.4,0.1,America
4.9,4.1,1.7,0.1,America
7.4,4.7,1.7,0.1,America
4.8,4.4,1.6,0.1,America
4.8,4.0,1.4,0.1,America
4.4,4.0,1.1,0.1,America
7.8,4.0,1.1,0.1,America
7.7,4.4,1.7,0.4,America
7.4,4.9,1.4,0.4,America
7.1,4.7,1.4,0.4,America
7.7,4.8,1.7,0.4,America
7.1,4.8,1.7,0.4,America
7.4,4.4,1.7,0.1,America
7.1,4.7,1.7,0.4,America
4.6,4.6,1.0,0.1,America
7.1,4.4,1.7,0.7,America
4.8,4.4,1.9,0.1,America
7.0,4.0,1.6,0.1,America
7.0,4.4,1.6,0.4,America
7.1,4.7,1.7,0.1,America
7.1,4.4,1.4,0.1,America
4.7,4.1,1.6,0.1,America
4.8,4.1,1.6,0.1,America
7.4,4.4,1.7,0.4,America
7.1,4.1,1.7,0.1,America
7.7,4.1,1.4,0.1,America
4.9,4.1,1.7,0.1,America
7.0,4.1,1.1,0.1,America
7.7,4.7,1.4,0.1,America
4.9,4.1,1.7,0.1,America
4.4,4.0,1.4,0.1,America
7.1,4.4,1.7,0.1,America
7.0,4.7,1.4,0.4,America
4.7,1.4,1.4,0.4,America
4.4,4.1,1.4,0.1,America
7.0,4.7,1.6,0.6,America
7.1,4.8,1.9,0.4,America
4.8,4.0,1.4,0.4,America
7.1,4.8,1.6,0.1,America
4.6,4.1,1.4,0.1,America
7.4,4.7,1.7,0.1,America
7.0,4.4,1.4,0.1,America
7.0,4.1,4.7,1.4,Nacional
6.4,4.1,4.7,1.7,Nacional
6.9,4.1,4.9,1.7,Nacional
7.7,1.4,4.0,1.4,Nacional
6.7,1.8,4.6,1.7,Nacional
7.7,1.8,4.7,1.4,Nacional
6.4,4.4,4.7,1.6,Nacional
4.9,1.4,4.4,1.0,Nacional
6.6,1.9,4.6,1.4,Nacional
7.1,1.7,4.9,1.4,Nacional
7.0,1.0,4.7,1.0,Nacional
7.9,4.0,4.1,1.7,Nacional
6.0,1.1,4.0,1.0,Nacional
6.1,1.9,4.7,1.4,Nacional
7.6,1.9,4.6,1.4,Nacional
6.7,4.1,4.4,1.4,Nacional
7.6,4.0,4.7,1.7,Nacional
7.8,1.7,4.1,1.0,Nacional
6.1,1.1,4.7,1.7,Nacional
7.6,1.7,4.9,1.1,Nacional
7.9,4.1,4.8,1.8,Nacional
6.1,1.8,4.0,1.4,Nacional
6.4,1.7,4.9,1.7,Nacional
6.1,1.8,4.7,1.1,Nacional
6.4,1.9,4.4,1.4,Nacional
6.6,4.0,4.4,1.4,Nacional
6.8,1.8,4.8,1.4,Nacional
6.7,4.0,7.0,1.7,Nacional
6.0,1.9,4.7,1.7,Nacional
7.7,1.6,4.7,1.0,Nacional
7.7,1.4,4.8,1.1,Nacional
7.7,1.4,4.7,1.0,Nacional
7.8,1.7,4.9,1.1,Nacional
6.0,1.7,7.1,1.6,Nacional
7.4,4.0,4.7,1.7,Nacional
6.0,4.4,4.7,1.6,Nacional
6.7,4.1,4.7,1.7,Nacional
6.4,1.4,4.4,1.4,Nacional
7.6,4.0,4.1,1.4,Nacional
7.7,1.7,4.0,1.4,Nacional
7.7,1.6,4.4,1.1,Nacional
6.1,4.0,4.6,1.4,Nacional
7.8,1.6,4.0,1.1,Nacional
